game_id,ugly_name,pretty_name
156009,port-royal,Port Royal
172308,broom-service,Broom Service
42215,tobago,Tobago
6249,alhambra,Alhambra
144797,argent-consortium,Argent: The Consortium
91312,discworld-ankh-morpork,Discworld: Ankh-Morpork
131357,coup,Coup
4390,carcassonne-hunters-and-gatherers,Carcassonne: Hunters and Gatherers
156546,monikers,Monikers
221965,fox-forest,The Fox in the Forest
171,chess,Chess
130960,triumph-tragedy,Triumph & Tragedy
586,front,Up Front
144189,fire-lake,Fire in the Lake
1353,times,Time's Up!
160495,zhanguo,ZhanGuo
192457,cry-havoc,Cry Havoc
70512,luna,Luna
28023,jamaica,Jamaica
88,torres,Torres
24508,taluva,Taluva
155624,specter-ops,Specter Ops
167400,ashes-rise-phoenixborn,Ashes: Rise of the Phoenixborn
20963,fury-dracula-second-edition,Fury of Dracula (Second Edition)
232405,western-legends,Western Legends
36235,duke,The Duke
3201,lord-rings-confrontation,Lord of the Rings: The Confrontation
30380,cuba,Cuba
18098,napoleons-triumph,Napoleon's Triumph
503,through-desert,Through the Desert
21763,mr-jack,Mr. Jack
126792,myrmes,Myrmes
215311,downforce,Downforce
9823,advanced-squad-leader-starter-kit-1,Advanced Squad Leader: Starter Kit #1
24800,conflict-heroes-awakening-bear-russia-1941-42,Conflict of Heroes: Awakening the Bear! – Russia 1941-42
113294,escape-curse-temple,Escape: The Curse of the Temple
180511,shakespeare,Shakespeare
10547,betrayal-house-hill,Betrayal at House on the Hill
15364,vegas-showdown,Vegas Showdown
84419,space-empires-4x,Space Empires: 4X
79127,star-trek-fleet-captains,Star Trek: Fleet Captains
184921,bunny-kingdom,Bunny Kingdom
37904,formula-d,Formula D
162007,steampunk-rally,Steampunk Rally
26997,1989-dawn-freedom,1989: Dawn of Freedom
68425,eminent-domain,Eminent Domain
38996,washingtons-war,Washington's War
123540,tokaido,Tokaido
166384,spyfall,Spyfall
137988,zombicide-season-2-prison-outbreak,Zombicide Season 2: Prison Outbreak
113997,tajemnicze-domostwo,Tajemnicze Domostwo
17405,1846-race-midwest,1846: The Race for the Midwest
2163,space-hulk,Space Hulk
168584,love-letter-batman,Love Letter: Batman
158889,summoner-wars-alliances-master-set,Summoner Wars: Alliances Master Set
31563,middle-earth-quest,Middle-Earth Quest
110277,among-stars,Among the Stars
203416,exit-game-pharaohs-tomb,Exit: The Game – The Pharaoh's Tomb
55600,shipyard,Shipyard
46,medici,Medici
13004,downfall-pompeii,The Downfall of Pompeii
212445,blood-bowl-2016-edition,Blood Bowl (2016 edition)
179803,arcadia-quest-inferno,Arcadia Quest: Inferno
160499,king-new-york,King of New York
22345,yspahan,Yspahan
250458,gugng,Gùgōng
107529,kingdom-builder,Kingdom Builder
117959,las-vegas,Las Vegas
73761,k2,K2
236191,london-second-edition,London (second edition)
41002,vasco-da-gama,Vasco da Gama
148575,marvel-dice-masters-avengers-vs-x-men,Marvel Dice Masters: Avengers vs. X-Men
100423,elder-sign,Elder Sign
111799,cuba-libre,Cuba Libre
146278,tash-kalar-arena-legends,Tash-Kalar: Arena of Legends
43528,world-without-end,World Without End
143741,bang-dice-game,BANG! The Dice Game
82421,summoner-wars-phoenix-elves-vs-tundra-orcs,Summoner Wars: Phoenix Elves vs Tundra Orcs
117915,yedo,Yedo
47185,warhammer-invasion,Warhammer: Invasion
143515,coal-baron,Coal Baron
5782,coloretto,Coloretto
173442,empires-age-discovery,Empires: Age of Discovery
28181,combat-commander-pacific,Combat Commander: Pacific
196326,love-letter-premium,Love Letter Premium
29603,d-day-omaha-beach,D-Day at Omaha Beach
162286,super-motherload,Super Motherload
41066,virgin-queen,Virgin Queen
156336,onirim-second-edition,Onirim (second edition)
82420,summoner-wars-guild-dwarves-vs-cave-goblins,Summoner Wars: Guild Dwarves vs Cave Goblins
168435,between-two-cities,Between Two Cities
103886,star-wars-card-game,Star Wars: The Card Game
139898,brew-crafters,Brew Crafters
35570,tinners-trail,Tinners' Trail
131287,panamax,Panamax
91872,dungeons-dragons-legend-drizzt-board-game,Dungeons & Dragons: The Legend of Drizzt Board Game
170416,vast-crystal-caverns,Vast: The Crystal Caverns
205398,citadels,Citadels
132018,churchill,Churchill
171499,cacao,Cacao
156689,legendary-villains-marvel-deck-building-game,Legendary: Villains – A Marvel Deck Building Game
209418,dominion-second-edition,Dominion (Second Edition)
30957,tribune-primus-inter-pares,Tribune: Primus Inter Pares
156943,saint-petersburg-second-edition,Saint Petersburg (second edition)
132028,conflict-heroes-awakening-bear-second-edition,Conflict of Heroes: Awakening the Bear! (second edition)
12891,friedrich,Friedrich
94,union-pacific,Union Pacific
179275,one-deck-dungeon,One Deck Dungeon
177590,13-days-cuban-missile-crisis,13 Days: The Cuban Missile Crisis
193558,oracle-delphi,The Oracle of Delphi
224597,warhammer-underworlds-shadespire,Warhammer Underworlds: Shadespire
203417,exit-game-secret-lab,Exit: The Game – The Secret Lab
1035,squad-leader,Squad Leader
65901,age-industry,Age of Industry
528,zertz,ZÈRTZ
213893,yamatai,Yamataï
7717,carcassonne-castle,Carcassonne: The Castle
483,diplomacy,Diplomacy
69789,ascension-deckbuilding-game,Ascension: Deckbuilding Game
137269,spyrium,Spyrium
2955,mexica,Mexica
12002,jambo,Jambo
151004,smash-science-fiction-double-feature,Smash Up: Science Fiction Double Feature
200147,kanagawa,Kanagawa
215341,thunderstone-quest,Thunderstone Quest
170561,valeria-card-kingdoms,Valeria: Card Kingdoms
21882,blue-moon-city,Blue Moon City
72321,networks,The Networks
20100,wits-wagers,Wits & Wagers
12962,reef-encounter,Reef Encounter
2181,bridge,Bridge
163602,xcom-board-game,XCOM: The Board Game
27976,heroscape-master-set-swarm-marro,Heroscape Master Set: Swarm of the Marro
169654,deep-sea-adventure,Deep Sea Adventure
198953,pax-renaissance,Pax Renaissance
154825,arkwright,Arkwright
156858,black-orchestra,Black Orchestra
71721,space-hulk-death-angel-card-game,Space Hulk: Death Angel – The Card Game
158275,marvel-dice-masters-uncanny-x-men,Marvel Dice Masters: Uncanny X-Men
165401,wir-sind-das-volk,Wir sind das Volk!
26566,homesteaders,Homesteaders
244521,quacks-quedlinburg,The Quacks of Quedlinburg
1345,genoa,Genoa
12902,carcassonne-city,Carcassonne: The City
40628,finca,Finca
2453,blokus,Blokus
155362,cah-n-guns-second-edition,Ca$h 'n Guns (Second Edition)
699,heroquest,HeroQuest
153016,telestrations-12-player-party-pack,Telestrations: 12 Player Party Pack
9440,maharaja-game-palace-building-india,Maharaja: The Game of Palace Building in India
156566,lords-xidit,Lords of Xidit
256226,azul-stained-glass-sintra,Azul: Stained Glass of Sintra
244992,mind,The Mind
119788,hyperborea,Hyperborea
69779,polis-fight-hegemony,Polis: Fight for the Hegemony
171273,fuse,FUSE
148319,tragedy-looper,Tragedy Looper
242574,century-eastern-wonders,Century: Eastern Wonders
145659,scoville,Scoville
233312,stuffed-fables,Stuffed Fables
1041,san-marco,San Marco
491,web-power,Web of Power
202408,adrenaline,Adrenaline
246192,gizmos,Gizmos
161417,red7,Red7
98351,core-worlds,Core Worlds
53953,thunderstone,Thunderstone
201921,tiny-epic-quest,Tiny Epic Quest
220520,caverna-cave-vs-cave,Caverna: Cave vs Cave
108784,ascension-storm-souls,Ascension: Storm of Souls
8125,santiago,Santiago
2398,cribbage,Cribbage
13642,louis-xiv,Louis XIV
72225,co,CO₂
52461,legacy-testament-duke-de-crecy,Legacy: The Testament of Duke de Crecy
129948,palaces-carrara,The Palaces of Carrara
66356,dungeons-dragons-wrath-ashardalon-board-game,Dungeons & Dragons: Wrath of Ashardalon Board Game
29368,last-night-earth-zombie-game,Last Night on Earth: The Zombie Game
169124,flick-em,Flick 'em Up!
108906,thunder-alley,Thunder Alley
106217,hawaii,Hawaii
240,britannia,Britannia
234277,nusfjord,Nusfjord
194879,not-alone,Not Alone
232219,dragon-castle,Dragon Castle
45,liars-dice,Liar's Dice
26990,container,Container
174570,legendary-encounters-predator-deck-building-game,Legendary Encounters: A Predator Deck Building Game
432,6-nimmt,6 nimmt!
939,star-wars-queens-gambit,Star Wars: The Queen's Gambit
51,ricochet-robots,Ricochet Robots
191977,castles-burgundy-card-game,The Castles of Burgundy: The Card Game
85897,thunderstone-dragonspire,Thunderstone: Dragonspire
193949,star-trek-ascendancy,Star Trek: Ascendancy
89409,battlecon-war-indines,BattleCON: War of Indines
37380,roll-through-ages-bronze-age,Roll Through the Ages: The Bronze Age
183840,oh-my-goods,Oh My Goods!
154458,akrotiri,Akrotiri
191051,outlive,Outlive
173064,leaving-earth,Leaving Earth
95064,ascension-return-fallen,Ascension: Return of the Fallen
160851,lanterns-harvest-festival,Lanterns: The Harvest Festival
8051,attika,Attika
147151,concept,Concept
175117,celestia,Celestia
201825,ex-libris,Ex Libris
904,dream-factory,Dream Factory
173,formula-de,Formula Dé
19600,antike,Antike
554,la-citta,La Città
122298,morels,Morels
65244,forbidden-island,Forbidden Island
30645,tammany-hall,Tammany Hall
171669,discoveries,Discoveries
45986,stronghold,Stronghold
172047,others,The Others
16747,tumblin-dice,Tumblin-Dice
98229,pictomania,Pictomania
168917,smash-pretty-pretty-smash,Smash Up: Pretty Pretty Smash Up
131646,merchant-venus-second-edition,Merchant of Venus (second edition)
1301,netrunner,Netrunner
244228,reef,Reef
160018,smash-monster-smash,Smash Up: Monster Smash
38054,snow-tails,Snow Tails
177678,signorie,Signorie
